# ============================================================================
# KTP OP Anonymization - Coverage Inventory
# ============================================================================
# THE SINGLE SOURCE OF TRUTH for what gets anonymized.
#
# Read by: the engine (what to change), the dry run (what would change),
#          the verifier (what must be gone), and the coverage doc generator.
# Because all four read this file, they cannot disagree with each other.
#
# FORMAT: table_name,column_name,rule,category,source,notes
#   Lines starting with # are comments. Blank lines are ignored.
#   Everything is case-insensitive.
#
# RULE:
#   CODE        Replace the identifier using anon_meta.code_map.
#   NULL_OUT    Free text / PII -> NULL. ALWAYS applied, never configurable.
#   DESCRIPTION Label column -> the row's own new code (keeps the UI readable).
#   SELF_CODE   Per-entity PII attribute -> the row's own new code.
#
# CATEGORY:
#   ANY           Column may hold entity, portfolio or counterparty codes.
#                 Mapping is searched unrestricted.
#   BANK_ACCOUNT  Column references compte_banque.code. Mapping is RESTRICTED
#                 to bank-account codes, because a compte_banque.code can be
#                 textually identical to a tiers.code and would otherwise be
#                 rewritten with the wrong mapping.
#   ENTITY /      Owning category for DESCRIPTION and SELF_CODE rules; selects
#   PORTFOLIO /   which ANONYMIZE_<CATEGORY>_DESCRIPTION flag gates the column.
#   COUNTERPARTY
#   NONE          NULL_OUT only. Free text is never category-dependent.
#
# ----------------------------------------------------------------------------
# WHAT anonymization.ini CAN AND CANNOT SWITCH OFF
# ----------------------------------------------------------------------------
# The flags do NOT filter this file by table. Only PART B below - 8 rows out of
# 562 - can be turned off by a flag.
#
#   PART A   applied on every run, no flag can disable it
#     CODE       462 rows   The flags act on the MAPPING, not on this list. A
#                           disabled category has no rows in anon_meta.code_map,
#                           so these statements still run but find nothing of
#                           that category to substitute. Filtering happens per
#                           VALUE, not per table or column.
#     NULL_OUT    92 rows   Never optional. Free text is the highest-risk
#                           category and the least useful to preserve.
#
#   PART B   switchable
#     DESCRIPTION  3 rows   ANONYMIZE_<CATEGORY>_DESCRIPTION
#     SELF_CODE    5 rows   ANONYMIZE_<CATEGORY>_ATTRIBUTES
#
# To exclude a specific table or column, comment its line out here. That is the
# per-column control; the flags are the per-category control.
#
# Review of which rows SHOULD be flag-gated is open - see
# docs/08_open_questions.md.
#
# To extend coverage, prefer config/inventory_op_custom.csv - it survives
# upgrades of this file.
# ============================================================================

table_name,column_name,rule,category,source,notes

# ############################################################################
# ############################################################################
# ##                                                                        ##
# ##   PART A - ALWAYS APPLIED   (sections 1 to 8)                          ##
# ##                                                                        ##
# ##   No flag in anonymization.ini can switch any of this off.             ##
# ##   Comment out a line to exclude it.                                    ##
# ##                                                                        ##
# ############################################################################
# ############################################################################

# ============================================================================
# SECTION 1 - CORE REFERENCE TABLES
# The entity master tables. Everything else references these.
# ============================================================================
structure,code,CODE,ANY,BASE,
structure,pere,CODE,ANY,BASE,
tiers,code,CODE,ANY,BASE,
tiers,entite_pere,CODE,ANY,BASE,
tiers,entite_fifo,CODE,ANY,BASE,
tiers,tiers_conso,CODE,ANY,BASE,
tiers,tiers_federateur,CODE,ANY,BASE,
tiers,tiers_conso2,CODE,ANY,BASE,
tiers,tiers_conso3,CODE,ANY,BASE,
compte_banque,code,CODE,BANK_ACCOUNT,BASE,
compte_banque,code_bban,CODE,BANK_ACCOUNT,BASE,
compte_banque,agence,CODE,ANY,BASE,
compte_banque,banque,CODE,ANY,BASE,
compte_banque,entite,CODE,ANY,BASE,
compte_banque,portefeuille_defaut,CODE,ANY,BASE,
compte_banque,compte_previs_glob,CODE,BANK_ACCOUNT,BASE,

# ============================================================================
# SECTION 2 - PARAMETER / CONFIGURATION TABLES
# Small tables holding rules, mappings and settings that reference entities.
# ============================================================================
param_marge_titre,entite,CODE,ANY,BASE,
ccp_breakdown,clearing_member,CODE,ANY,BASE,
clearing_member_breakdown,clearing_member,CODE,ANY,BASE,
budget_filtre,entite,CODE,ANY,BASE,
budget_regle,entite,CODE,ANY,BASE,
compte_devise,entite,CODE,ANY,BASE,
compte_devise,compte,CODE,BANK_ACCOUNT,BASE,
compte_filiale,filiale,CODE,ANY,BASE,
compte_filiale,entite,CODE,ANY,BASE,
compte_filiale,compte,CODE,BANK_ACCOUNT,BASE,
compte_regle,contrepartie,CODE,ANY,BASE,
compte_regle,entite,CODE,ANY,BASE,
compte_regle,portefeuille,CODE,ANY,BASE,
compte_regle,depositaire,CODE,ANY,BASE,
compte_regle,compte,CODE,BANK_ACCOUNT,BASE,
compte_regle_bqe,correspondant,CODE,ANY,BASE,
compte_regle_bqe,contrepartie,CODE,ANY,BASE,
compte_regle_bqe,portefeuille,CODE,ANY,BASE,
